Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
yard.university,available,80,26%,4,"Construction,General",,,
nine.university,available,80,24%,4,"General,Mathematics",,,
two.university,available,80,24%,3,Mathematics,,,
wiz.university,available,80,30%,3,"Business,Education,Technology",,,
absurd.university,available,80,16%,6,"Arts,Entertainment,Media",,,
first.university,available,80,36%,5,"General,Mathematics",,,
superstar.university,available,80,18%,9,Entertainment,,,
some.university,available,80,32%,4,"Business,Media,Retail",,,
sequent.university,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
adoptable.university,available,80,3%,9,"Education,Healthcare",,,
seventh.university,available,80,10%,7,Mathematics,,,
absorbable.university,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
twenty.university,available,80,12%,6,Mathematics,,,
capable.university,available,80,12%,7,"Business,Education,Technology",,,
absolute.university,available,80,25%,8,"Engineering,Mathematics,Science",,,
dorsal.university,available,80,6%,6,"Medicine,Science",,,
recognized.university,available,78,3%,10,"Business,Education,Technology",,,
adrenal.university,available,78,4%,7,"Education,Healthcare,Science",,,
sixtynine.university,available,78,8%,10,Mathematics,,,
adorable.university,available,78,8%,8,"Entertainment,Fashion,Retail",,,
low.university,available,78,20%,3,"Business,Finance",,,
absorptive.university,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
abkhazian.university,available,78,1%,9,Geography,,,
adjacent.university,available,78,9%,8,"Construction,Real Estate,Retail",,,
abounding.university,available,78,2%,9,Agriculture,,,
acceptable.university,available,78,5%,10,"Business,Hospitality,Retail",,,
accidental.university,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
recognised.university,available,78,3%,10,"Business,Education,Technology",,,
accurate.university,available,78,16%,8,"Engineering,Mathematics,Science",,,
accepted.university,available,78,6%,8,"Business,Education,Technology",,,
accessible.university,available,78,21%,10,"Healthcare,Retail,Technology",,,
athletic.university,available,78,15%,8,"Health and Fitness,Sports",,,
twentysix.university,available,78,8%,10,Mathematics,,,
abkhasian.university,available,78,1%,9,Geography,,,
honestly.university,available,78,9%,8,"Business,Law",,,
acceptant.university,available,78,1%,9,"Education,Healthcare",,,
dormant.university,available,78,4%,7,"Medicine,Science",,,
energizing.university,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
resultant.university,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
incidental.university,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
thirteenth.university,available,76,4%,10,Mathematics,,,
thousandth.university,available,76,1%,10,Mathematics,,,
firstrate.university,available,76,6%,10,Business,,,
adhesive.university,available,76,7%,8,"Construction,Manufacturing,Technology",,,
acoustic.university,available,76,14%,8,Science,,,
ventral.university,available,76,3%,7,Science,,,
adherent.university,available,76,4%,8,"Politics,Religion",,,
threed.university,available,76,7%,7,Technology,,,
adaptable.university,available,76,9%,9,"Business,Education,Technology",,,
improvise.university,available,76,4%,9,Entertainment,,,
auxiliary.university,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
ancillary.university,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
nineteenth.university,available,76,3%,10,Mathematics,,,
adipose.university,available,76,2%,7,"Healthcare,Science",,,
eighteen.university,available,76,7%,8,Mathematics,,,
obscene.university,available,76,5%,7,"Entertainment,Media",,,
fifteenth.university,available,76,2%,9,Mathematics,,,
abrasive.university,available,76,6%,8,"Construction,Manufacturing",,,
fourteenth.university,available,76,1%,10,Mathematics,,,
ague.university,available,76,2%,4,"Geography,Medicine,Science",,,
hundredth.university,available,76,1%,9,Mathematics,,,
diamond.university,resell,76,32%,7,Fashion,06/10/2014 17:02,06/10/2025 17:02,"GoDaddy.com, LLC"
addable.university,available,76,2%,7,"Engineering,Mathematics,Science",,,
adaptive.university,available,76,28%,8,"Business,Education,Technology",,,
adamant.university,available,74,14%,7,Religion,,,
activated.university,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
supra.university,available,74,25%,5,"Medicine,Science",,,
aberrant.university,available,74,6%,8,"Medicine,Science",,,
mavin.university,available,74,7%,5,"Entertainment,Fashion,Technology",,,
skilful.university,available,74,3%,7,"Education,Health and Fitness,Sports",,,
playing.university,available,74,12%,7,Entertainment,,,
acuate.university,available,74,2%,6,"Engineering,Medicine,Science",,,
single.university,available,74,19%,6,Sports,,,
abnormal.university,available,74,16%,8,"Medicine,Science",,,
admirable.university,available,74,5%,9,"Business,Education,Healthcare",,,
accepting.university,available,74,3%,9,"Education,Healthcare",,,
broad.university,available,74,13%,5,"Entertainment,General,Media",,,
adrenergic.university,available,74,1%,10,"Education,Healthcare,Science",,,
cleared.university,available,74,7%,7,"Healthcare,Law,Transportation",,,
achievable.university,available,74,4%,10,"Business,Education,Technology",,,
adapted.university,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
realizable.university,available,74,1%,10,"Business,Education,Technology",,,
manageable.university,available,74,4%,10,"Business,Education,Technology",,,
sensation.university,available,74,7%,9,"Entertainment,Media,Sports",,,
adenoid.university,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
ablaze.university,available,72,6%,6,Entertainment,,,
abloom.university,available,72,5%,6,Agriculture,,,
adaptative.university,available,72,1%,10,"Business,Education,Technology",,,
existent.university,available,72,3%,8,"Mathematics,Science",,,
lovely.university,resell,72,26%,6,"Entertainment,Fashion,Retail",10/11/2018 08:40,10/11/2025 08:40,Dynadot Inc
ninetieth.university,available,72,1%,9,Mathematics,,,
addicted.university,available,72,9%,8,Healthcare,,,
ternary.university,available,72,7%,7,Mathematics,,,
adjectival.university,available,72,1%,10,Education,,,
seventieth.university,available,72,1%,10,Mathematics,,,
adiabatic.university,available,72,3%,9,"Engineering,Science",,,
trey.university,available,72,14%,4,Sports,,,
absorbed.university,available,72,2%,8,"Entertainment,Media,Technology",,,
sixtieth.university,available,72,1%,8,Mathematics,,,
absolutist.university,available,72,1%,10,"Humanities,Law,Politics",,,
engrossed.university,available,72,1%,9,"Entertainment,Media,Technology",,,
aching.university,available,72,4%,6,Healthcare,,,
accusative.university,available,72,0%,10,"Humanities,Law",,,
abreast.university,available,72,2%,7,"Business,Technology",,,
deep.university,available,72,41%,4,"Engineering,Mathematics,Science",,,
liv.university,available,72,27%,3,Mathematics,,,
adonic.university,available,72,2%,6,"Arts,Education,Entertainment",,,
improvize.university,available,72,1%,9,Entertainment,,,
adjunctive.university,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
accustomed.university,available,72,1%,10,"Business,Education,Humanities",,,
eightieth.university,available,72,1%,9,Mathematics,,,
practiced.university,available,70,3%,9,"Education,Health and Fitness,Sports",,,
stillborn.university,available,70,2%,9,"Medicine,Science",,,
skillful.university,available,70,9%,8,"Education,Health and Fitness,Sports",,,
adjusted.university,available,70,5%,8,"Manufacturing,Retail,Technology",,,
absorbing.university,available,70,3%,9,"Entertainment,Media,Technology",,,
abradant.university,available,70,1%,8,"Construction,Manufacturing",,,
abulic.university,available,70,1%,6,Medicine,,,
admired.university,available,70,5%,7,"Business,Education,Healthcare",,,
tiptop.university,available,70,24%,6,Fashion,,,
adored.university,available,70,6%,6,"Entertainment,Fashion,Retail",,,
lowdown.university,available,70,6%,8,"Entertainment,Media",,,
offhand.university,available,70,2%,7,Entertainment,,,
consequent.university,available,70,3%,10,"Business,Education,General,Technology",,,
miserable.university,available,70,4%,9,Humanities,,,
unity.university,available,70,40%,5,Mathematics,,,
recumbent.university,available,70,2%,9,"Healthcare,Medicine,Science",,,
acuminate.university,available,70,1%,9,"Engineering,Medicine,Science",,,
gymnastic.university,available,70,3%,9,"Entertainment,Sports",,,
adamantine.university,available,70,4%,10,Religion,,,
accumbent.university,available,70,1%,9,"Healthcare,Medicine,Science",,,
vindicated.university,available,68,2%,10,"Humanities,Law,Politics",,,
threesome.university,available,68,5%,9,Entertainment,,,
abnaki.university,available,68,1%,6,Geography,,,
activating.university,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
acerate.university,available,68,1%,7,Science,,,
achaean.university,available,68,2%,7,Humanities,,,
fiftieth.university,available,68,0%,8,Mathematics,,,
licensed.university,available,68,5%,8,"Business,Healthcare,Insurance",,,
abkhas.university,available,68,0%,6,Geography,,,
ennead.university,available,68,5%,6,Mathematics,,,
octonary.university,available,68,1%,8,Mathematics,,,
foursome.university,available,68,4%,8,Sports,,,
ane.university,available,68,12%,3,Mathematics,,,
decorated.university,available,68,3%,9,"Entertainment,Fashion,Retail",,,
licenced.university,available,68,2%,8,"Business,Healthcare,Insurance",,,
aroused.university,available,68,3%,7,"Entertainment,Health and Fitness",,,
aberdonian.university,available,68,1%,10,Geography,,,
ablative.university,available,68,3%,8,Science,,,
overseas.university,available,68,12%,8,"Hospitality,Travel",,,
disciple.university,available,68,14%,8,"Education,Religion",,,
fortieth.university,available,68,0%,8,Mathematics,,,
septenary.university,available,68,1%,9,Mathematics,,,
aculeate.university,available,68,1%,8,"Engineering,Medicine,Science",,,
thirtieth.university,available,68,1%,9,Mathematics,,,
achaian.university,available,68,2%,7,Humanities,,,
scurvy.university,available,68,3%,6,Humanities,,,
stygian.university,available,68,5%,7,Humanities,,,
sevener.university,available,68,1%,7,Mathematics,,,
abducent.university,available,68,0%,8,Medicine,,,
four.university,available,66,27%,4,Mathematics,,,
adopted.university,available,66,4%,7,"Education,Healthcare",,,
xvii.university,available,66,5%,4,Mathematics,,,
exonerated.university,available,66,2%,10,"Humanities,Law,Politics",,,
accessary.university,available,66,1%,9,"Business,Law,Technology",,,
xxv.university,available,66,6%,3,Mathematics,,,
ninety.university,available,66,11%,6,Mathematics,,,
eighty.university,available,66,6%,6,Mathematics,,,
fifty.university,available,66,12%,5,Mathematics,,,
sextet.university,available,66,1%,6,Entertainment,,,
latest.university,available,66,18%,6,Technology,,,
xxvi.university,available,66,3%,4,Mathematics,,,
xxi.university,available,66,10%,3,Mathematics,,,
acappella.university,available,66,6%,10,Entertainment,,,
thirty.university,available,66,8%,6,Mathematics,,,
according.university,available,66,3%,9,"Business,Education,Technology",,,
xiii.university,available,66,9%,4,Mathematics,,,
abstinent.university,available,66,1%,9,"Health and Fitness,Religion",,,
adorned.university,available,66,5%,7,"Entertainment,Fashion,Retail",,,
xvi.university,available,66,5%,3,Mathematics,,,
clv.university,available,66,10%,3,Mathematics,,,
tenner.university,available,66,5%,6,Finance,,,
modish.university,available,66,5%,6,Fashion,,,
buzzing.university,available,66,7%,7,"Entertainment,Media,Technology",,,
acervate.university,available,66,1%,8,Science,,,
century.university,available,66,17%,7,Education,,,
xii.university,available,66,10%,3,Mathematics,,,
teenager.university,available,66,4%,8,"Education,Entertainment,Healthcare",,,
xxii.university,available,66,6%,4,Mathematics,,,
xviii.university,available,66,5%,5,Mathematics,,,
onec.university,available,66,6%,5,Mathematics,,,
five.university,available,66,26%,4,Mathematics,,,
acrobatic.university,available,66,4%,9,"Entertainment,Sports",,,
deuce.university,available,66,9%,5,Sports,,,
performing.university,available,66,6%,10,Entertainment,,,
scatty.university,available,64,1%,6,"Arts,Entertainment,Media",,,
aflame.university,available,64,3%,6,Entertainment,,,
ccc.university,available,64,38%,3,Mathematics,,,
rising.university,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
absolved.university,available,64,1%,8,"Humanities,Law,Religion",,,
astringent.university,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
acentric.university,available,64,2%,8,Science,,,
adagio.university,available,64,14%,6,Entertainment,,,
nondrinker.university,available,64,1%,10,"Health and Fitness,Religion",,,
accordant.university,available,64,3%,9,"Arts,Entertainment",,,
deviant.university,available,64,12%,7,"Medicine,Science",,,
sixteenth.university,available,62,1%,9,Mathematics,,,
chiliad.university,available,62,2%,7,Mathematics,,,
cumulative.university,available,62,2%,10,"Banking,Finance,Insurance",,,
adoptive.university,available,62,1%,8,"Education,Healthcare",,,
orso.university,available,62,9%,5,"Business,Media,Technology",,,
fortyfour.university,available,62,6%,10,Mathematics,,,
abo.university,available,62,15%,3,Science,,,
eleventh.university,available,62,5%,8,Mathematics,,,
accusing.university,available,62,1%,8,Law,,,
activation.university,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
quartet.university,available,62,7%,7,"Arts,Entertainment",,,
roughly.university,available,62,3%,7,"Business,Media,Technology",,,
ensuant.university,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
pungent.university,available,62,1%,7,Food and Beverage,,,
eighteenth.university,available,62,1%,10,Mathematics,,,
playacting.university,available,62,1%,10,Entertainment,,,
aufait.university,available,62,3%,7,"Fashion,Media",,,
acidic.university,available,62,5%,6,"Food and Beverage,Science",,,
admissible.university,available,62,1%,10,"Education,Healthcare,Law",,,
longdozen.university,available,62,2%,10,Mathematics,,,
activistic.university,available,62,1%,10,"Humanities,Politics",,,
troika.university,available,62,8%,6,Politics,,,
aborigine.university,available,62,1%,9,Humanities,,,
adjuvant.university,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
exculpated.university,available,62,1%,10,"Humanities,Law,Politics",,,
accrued.university,available,62,2%,7,"Banking,Finance,Insurance",,,
twodozen.university,available,62,1%,9,Mathematics,,,
wrapped.university,available,62,13%,7,"Fashion,Hospitality,Retail",,,
adnexal.university,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
clxv.university,available,60,1%,4,Mathematics,,,
octet.university,available,60,12%,5,Arts,,,
aboveboard.university,available,60,5%,10,"Business,Law",,,
annexal.university,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
clxxx.university,available,60,1%,5,Mathematics,,,
tertiary.university,available,60,4%,8,Education,,,
idolized.university,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxx.university,available,60,10%,3,Mathematics,,,
cxv.university,available,60,4%,3,Mathematics,,,
clxx.university,available,60,3%,4,Mathematics,,,
sixty.university,available,60,13%,5,Mathematics,,,
clx.university,available,60,10%,3,Mathematics,,,
xcl.university,available,60,5%,3,Mathematics,,,
abashed.university,available,60,1%,7,Humanities,,,
cxlv.university,available,60,2%,4,Mathematics,,,
acceptive.university,available,60,1%,9,"Education,Healthcare",,,
clxxv.university,available,60,1%,5,Mathematics,,,
cxxx.university,available,60,4%,4,Mathematics,,,
abstainer.university,available,60,0%,9,"Health and Fitness,Religion",,,
cautionary.university,available,60,1%,10,"Business,Education,Healthcare",,,
eightysix.university,available,60,7%,10,Mathematics,,,
cxxv.university,available,60,1%,4,Mathematics,,,
adnate.university,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
paunchy.university,available,60,0%,7,"Health and Fitness,Medicine",,,
idolised.university,available,60,1%,8,"Entertainment,Fashion,Retail",,,
cxxxv.university,available,60,2%,5,Mathematics,,,
cxl.university,available,60,7%,3,Mathematics,,,
thou.university,available,60,7%,4,Mathematics,,,
abstemious.university,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
tercet.university,available,59,2%,6,"Arts,Entertainment,Media",,,
sextuplet.university,available,58,1%,9,Healthcare,,,
abandoned.university,available,58,10%,9,"Construction,Real Estate",,,
centesimal.university,available,58,1%,10,Mathematics,,,
aucourant.university,available,58,3%,10,"Fashion,Media",,,
tetrad.university,available,58,5%,6,Mathematics,,,
addressed.university,available,58,3%,9,"Business,Technology,Telecommunications",,,
eighter.university,available,58,2%,7,Mathematics,,,
adjustive.university,available,58,1%,9,"Manufacturing,Retail,Technology",,,
abuzz.university,available,58,5%,5,"Entertainment,Media,Technology",,,
sixer.university,available,58,5%,5,Sports,,,
closeto.university,available,58,3%,8,"Business,Media,Technology",,,
pentad.university,available,58,2%,6,Mathematics,,,
quintet.university,available,58,8%,7,"Arts,Entertainment",,,
fifth.university,available,58,12%,5,Mathematics,,,
accoutred.university,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
accretive.university,available,58,6%,9,"Banking,Finance,Insurance",,,
seven.university,available,58,36%,5,Mathematics,,,
super.university,resell,58,47%,5,Business,17/03/2025 15:15,17/03/2026 15:15,"Sav.com, LLC - 24"
acetic.university,available,58,1%,6,"Food and Beverage,Science",,,
lxxx.university,available,58,2%,4,Mathematics,,,
hexad.university,available,58,4%,5,Mathematics,,,
adient.university,available,58,4%,6,"Medicine,Science",,,
niner.university,available,58,5%,5,Mathematics,,,
cypher.university,available,58,29%,6,Mathematics,,,
octad.university,available,58,5%,5,Mathematics,,,
linear.university,available,58,22%,6,"Engineering,Mathematics,Science",,,
abridged.university,available,58,4%,8,Media,,,
abused.university,available,58,5%,6,"Healthcare,Law",,,
lxxviii.university,available,58,1%,7,Mathematics,,,
offhanded.university,available,58,1%,9,Entertainment,,,
addible.university,available,58,2%,7,"Engineering,Mathematics,Science",,,
twelfth.university,available,58,2%,7,Mathematics,,,
heptad.university,available,58,1%,6,Mathematics,,,
alacarte.university,available,58,11%,10,Food and Beverage,,,
actuarial.university,available,58,8%,9,"Finance,Insurance,Mathematics",,,
enwrapped.university,available,58,0%,9,"Entertainment,Fashion,Media",,,
sixtyone.university,available,58,3%,9,Mathematics,,,
acyclic.university,available,58,4%,7,"Engineering,Mathematics,Science",,,
justabout.university,available,58,3%,10,"Business,Media,Technology",,,
seventy.university,available,58,7%,7,Mathematics,,,
ache.university,available,58,7%,4,Healthcare,,,
fourth.university,available,58,13%,6,Mathematics,,,
accented.university,available,58,3%,8,"Arts,Entertainment",,,
fourscore.university,available,58,4%,9,Mathematics,,,
lvi.university,available,56,8%,3,Mathematics,,,
xxxi.university,available,56,9%,4,Mathematics,,,
xlvi.university,available,56,3%,4,Mathematics,,,
triad.university,available,56,15%,5,Arts,,,
lii.university,available,56,7%,3,Mathematics,,,
fiftynine.university,available,56,4%,10,Mathematics,,,
fortysix.university,available,56,3%,9,Mathematics,,,
fiftyone.university,available,56,7%,9,Mathematics,,,
ilx.university,available,56,5%,3,Mathematics,,,
fiftytwo.university,available,56,6%,9,Mathematics,,,
thirtyone.university,available,56,5%,10,Mathematics,,,
fortyone.university,available,56,4%,9,Mathematics,,,
xxxviii.university,available,56,1%,7,Mathematics,,,
halfdozen.university,available,56,1%,10,Mathematics,,,
fiftyfive.university,available,56,7%,10,Mathematics,,,
xxiv.university,available,56,5%,4,Mathematics,,,
addled.university,available,56,2%,6,Entertainment,,,
appressed.university,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
xxviii.university,available,56,1%,6,Mathematics,,,
xxxv.university,available,56,4%,4,Mathematics,,,
terzetto.university,available,56,3%,8,Arts,,,
xxxiii.university,available,56,2%,6,Mathematics,,,
xli.university,available,56,5%,3,Mathematics,,,
abdominous.university,available,56,0%,10,"Health and Fitness,Medicine",,,
fiftysix.university,available,56,4%,9,Mathematics,,,
xxxvii.university,available,56,2%,6,Mathematics,,,
xxxiv.university,available,56,1%,5,Mathematics,,,
abeyant.university,available,56,1%,7,"Business,Law",,,
admissive.university,available,56,1%,9,"Education,Healthcare,Hospitality",,,
xxxii.university,available,56,1%,5,Mathematics,,,
accoutered.university,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
liii.university,available,56,4%,4,Mathematics,,,
xlii.university,available,56,5%,4,Mathematics,,,
maledict.university,available,56,1%,8,Religion,,,
fiftyfour.university,available,56,3%,10,Mathematics,,,
xliii.university,available,56,1%,5,Mathematics,,,
xlvii.university,available,56,2%,5,Mathematics,,,
xlv.university,available,56,6%,3,Mathematics,,,
thirtytwo.university,available,56,5%,10,Mathematics,,,
admittable.university,available,56,1%,10,"Education,Healthcare,Hospitality",,,
xxxvi.university,available,56,1%,5,Mathematics,,,
thirtysix.university,available,56,5%,10,Mathematics,,,
aone.university,available,56,15%,5,Food and Beverage,,,
fortytwo.university,available,56,17%,9,Mathematics,,,
xxvii.university,available,56,3%,5,Mathematics,,,
lviii.university,available,56,1%,5,Mathematics,,,
fortynine.university,available,56,3%,10,Mathematics,,,
xxix.university,available,56,4%,4,Mathematics,,,
lvii.university,available,56,1%,4,Mathematics,,,
potbellied.university,available,56,0%,10,"Health and Fitness,Medicine",,,
admittible.university,available,56,1%,10,"Education,Healthcare,Hospitality",,,
xlviii.university,available,56,1%,6,Mathematics,,,
xxiii.university,available,56,5%,5,Mathematics,,,
xliv.university,available,56,2%,4,Mathematics,,,
threescore.university,available,54,1%,10,Mathematics,,,
fin.university,available,54,30%,3,Finance,,,
deserted.university,available,54,3%,8,"Hospitality,Real Estate",,,
iii.university,available,54,24%,3,Mathematics,,,
adductive.university,available,54,0%,9,"Engineering,Mathematics,Science",,,
adducting.university,available,54,1%,9,"Engineering,Mathematics,Science",,,
abasic.university,available,54,1%,6,Science,,,
topnotch.university,available,54,18%,8,Business,,,
viii.university,available,54,6%,4,Mathematics,,,
admonitory.university,available,54,0%,10,"Business,Education,Healthcare",,,
abient.university,available,54,1%,6,Science,,,
quatern.university,available,54,2%,7,Mathematics,,,
abaxial.university,available,54,1%,7,Science,,,
actuated.university,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
deuceace.university,available,54,2%,9,Sports,,,
abducens.university,available,54,1%,8,Medicine,,,
twoscore.university,available,54,2%,8,Mathematics,,,
adducent.university,available,54,1%,8,"Engineering,Mathematics,Science",,,
vii.university,available,54,13%,3,Mathematics,,,
abatic.university,available,54,1%,6,Science,,,
scratchy.university,available,54,3%,8,Fashion,,,
adaxial.university,available,54,2%,7,Science,,,
adjuratory.university,available,54,0%,10,"Law,Politics,Religion",,,
quaternion.university,available,54,6%,10,Mathematics,,,
achy.university,available,54,3%,4,Healthcare,,,
sise.university,available,54,5%,4,Mathematics,,,
abatable.university,available,54,1%,8,Law,,,
quaternity.university,available,54,4%,10,Mathematics,,,
aboral.university,available,54,2%,6,Science,,,
unnatural.university,available,54,4%,9,"Medicine,Science",,,
accentual.university,available,54,3%,9,"Arts,Entertainment",,,
monitory.university,available,54,3%,8,"Business,Education,Healthcare",,,
acoustical.university,available,54,4%,10,Science,,,
accursed.university,available,54,3%,8,"Entertainment,Media,Religion",,,
quadruplet.university,available,54,1%,10,"Healthcare,Medicine,Science",,,
ternion.university,available,54,3%,7,Mathematics,,,
abhorrent.university,available,54,1%,9,Humanities,,,
adpressed.university,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
fortyfive.university,available,54,4%,10,Mathematics,,,
achromatic.university,available,54,4%,10,Science,,,
quintuplet.university,available,54,1%,10,"Healthcare,Medicine,Science",,,
septet.university,available,53,1%,6,General,,,
sestet.university,available,53,1%,6,Arts,,,
xxx.university,resell,53,30%,3,"Arts,Entertainment,Media",25/07/2024 17:20,25/07/2026 17:20,"Sav.com, LLC"
